Primary Emotion,Bible Verse,Verse Text,Explanation
Worthless,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your worthless moments and draws near to comfort.
Apprehensive,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your apprehensive moments and draws near to comfort.
Frightened,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your frightened moments and draws near to comfort.
Hesitant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your hesitant moments and draws near to comfort.
Nervous,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your nervous moments and draws near to comfort.
Panic,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your panic moments and draws near to comfort.
Paralyzed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your paralyzed moments and draws near to comfort.
Scared,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your scared moments and draws near to comfort.
Terrified,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your terrified moments and draws near to comfort.
Worried,Matthew 6:34,Do not worry about tomorrow...,Focus on the present with God's help.
Helpless,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your helpless moments and draws near to comfort.
Sensitive,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your sensitive moments and draws near to comfort.
Appreciative,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your appreciative moments and draws near to comfort.
Fortunate,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your fortunate moments and draws near to comfort.
Grace,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your grace moments and draws near to comfort.
Humbled,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your humbled moments and draws near to comfort.
Lucky,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your lucky moments and draws near to comfort.
Moved,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your moved moments and draws near to comfort.
Touched,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your touched moments and draws near to comfort.
Regret,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your regret moments and draws near to comfort.
Remorseful,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your remorseful moments and draws near to comfort.
Sorry,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your sorry moments and draws near to comfort.
Encouraged,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your encouraged moments and draws near to comfort.
Expectant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your expectant moments and draws near to comfort.
Optimistic,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your optimistic moments and draws near to comfort.
Impotent,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your impotent moments and draws near to comfort.
Incapable,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your incapable moments and draws near to comfort.
Resigned,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your resigned moments and draws near to comfort.
Victim,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your victim moments and draws near to comfort.
Loving,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your loving moments and draws near to comfort.
Reflective,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your reflective moments and draws near to comfort.
Self-loving,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your self-loving moments and draws near to comfort.
Vulnerable,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your vulnerable moments and draws near to comfort.
Burned out,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your burned out moments and draws near to comfort.
Cranky,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your cranky moments and draws near to comfort.
Depleted,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your depleted moments and draws near to comfort.
Frazzled,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your frazzled moments and draws near to comfort.
Overwhelm,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your overwhelm moments and draws near to comfort.
Rattled,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your rattled moments and draws near to comfort.
Rejecting,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your rejecting moments and draws near to comfort.
Shaken,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your shaken moments and draws near to comfort.
Tight,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your tight moments and draws near to comfort.
Worn out,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your worn out moments and draws near to comfort.
Concerned,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your concerned moments and draws near to comfort.
Dissatisfied,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your dissatisfied moments and draws near to comfort.
Perplexed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your perplexed moments and draws near to comfort.
Questioning,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your questioning moments and draws near to comfort.
Reluctant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your reluctant moments and draws near to comfort.
Shocked,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your shocked moments and draws near to comfort.
Skeptical,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your skeptical moments and draws near to comfort.
Suspicious,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your suspicious moments and draws near to comfort.
Ungrounded,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your ungrounded moments and draws near to comfort.
Unsure,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your unsure moments and draws near to comfort.
angry,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
angry,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
angry,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
mad,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
mad,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
mad,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
furious,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
furious,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
furious,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
irritated,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
irritated,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
irritated,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
annoyed,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
annoyed,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
annoyed,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
frustrated,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
frustrated,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
frustrated,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
outraged,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
outraged,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
outraged,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
bitter,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
bitter,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
bitter,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
resentful,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
resentful,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
resentful,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
aggravated,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
aggravated,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
aggravated,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
raging,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
raging,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
raging,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
enraged,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
enraged,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
enraged,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
exasperated,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
exasperated,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
exasperated,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
infuriated,Ephesians 4:26,"""In your anger do not sin"": Do not let the sun go down while you are still angry.","This verse reminds us that while anger is natural, it must be handled with care and not allowed to fester into sin or bitterness."
infuriated,James 1:19-20,"Everyone should be quick to listen, slow to speak and slow to become angry, because human anger does not produce the righteousness that God desires.",This verse teaches us the value of patience and listening to temper our anger and respond in a godly way.
infuriated,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger.","When we're angry, God calls us to respond with gentleness rather than fueling conflict with harsh words."
sad,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,"This verse reminds us that God is near to those who feel sorrow or grief, offering comfort and salvation."
